geography,variable,concept,year,estimate
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2009,19825
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2010,19785
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2011,19830
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2012,19839
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2013,20980
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2014,20382
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2015,19866
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2016,52905
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2017,59389
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2018,68196
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2019,66590
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2020,56854
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2021,58555
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2022,57619
King County Metro,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2023,51756
King County Metro,Vanpool,Transit Boardings,2002,646619
King County Metro,Vanpool,Transit Boardings,2003,604764
King County Metro,Vanpool,Transit Boardings,2004,580253
King County Metro,Vanpool,Transit Boardings,2005,583821
King County Metro,Vanpool,Transit Boardings,2006,601386
King County Metro,Vanpool,Transit Boardings,2007,725554
King County Metro,Vanpool,Transit Boardings,2008,852377
King County Metro,Vanpool,Transit Boardings,2009,1090714
King County Metro,Vanpool,Transit Boardings,2010,1007577
King County Metro,Vanpool,Transit Boardings,2011,981949
King County Metro,Vanpool,Transit Boardings,2012,1160015
King County Metro,Vanpool,Transit Boardings,2013,1153202
King County Metro,Vanpool,Transit Boardings,2014,1156604
King County Metro,Vanpool,Transit Boardings,2015,1133694
King County Metro,Vanpool,Transit Boardings,2016,1154319
King County Metro,Vanpool,Transit Boardings,2017,1166347
King County Metro,Vanpool,Transit Boardings,2018,1159945
King County Metro,Vanpool,Transit Boardings,2019,1078858
King County Metro,Vanpool,Transit Boardings,2020,816262
King County Metro,Vanpool,Transit Boardings,2021,155375
King County Metro,Vanpool,Transit Boardings,2022,203613
King County Metro,Vanpool,Transit Boardings,2023,322069
King County Metro,Vanpool,Transit Revenue-Hours,2002,96768
King County Metro,Vanpool,Transit Revenue-Hours,2003,91687
King County Metro,Vanpool,Transit Revenue-Hours,2004,80958
King County Metro,Vanpool,Transit Revenue-Hours,2005,85238
King County Metro,Vanpool,Transit Revenue-Hours,2006,89761
King County Metro,Vanpool,Transit Revenue-Hours,2007,102726
King County Metro,Vanpool,Transit Revenue-Hours,2008,107130
King County Metro,Vanpool,Transit Revenue-Hours,2009,121179
King County Metro,Vanpool,Transit Revenue-Hours,2010,100158
King County Metro,Vanpool,Transit Revenue-Hours,2011,106161
King County Metro,Vanpool,Transit Revenue-Hours,2012,126194
King County Metro,Vanpool,Transit Revenue-Hours,2013,129367
King County Metro,Vanpool,Transit Revenue-Hours,2014,168969
King County Metro,Vanpool,Transit Revenue-Hours,2015,172642
King County Metro,Vanpool,Transit Revenue-Hours,2016,180903
King County Metro,Vanpool,Transit Revenue-Hours,2017,186713
King County Metro,Vanpool,Transit Revenue-Hours,2018,196107
King County Metro,Vanpool,Transit Revenue-Hours,2019,172511
King County Metro,Vanpool,Transit Revenue-Hours,2020,87278
King County Metro,Vanpool,Transit Revenue-Hours,2021,31315
King County Metro,Vanpool,Transit Revenue-Hours,2022,39825
King County Metro,Vanpool,Transit Revenue-Hours,2023,60560
King County Metro,Vanpool,Transit Revenue-Miles,2002,3311467
King County Metro,Vanpool,Transit Revenue-Miles,2003,3213569
King County Metro,Vanpool,Transit Revenue-Miles,2004,2910615
King County Metro,Vanpool,Transit Revenue-Miles,2005,3030466
King County Metro,Vanpool,Transit Revenue-Miles,2006,3042085
King County Metro,Vanpool,Transit Revenue-Miles,2007,3450781
King County Metro,Vanpool,Transit Revenue-Miles,2008,3680222
King County Metro,Vanpool,Transit Revenue-Miles,2009,4119119
King County Metro,Vanpool,Transit Revenue-Miles,2010,3860618
King County Metro,Vanpool,Transit Revenue-Miles,2011,3976265
King County Metro,Vanpool,Transit Revenue-Miles,2012,4587246
King County Metro,Vanpool,Transit Revenue-Miles,2013,4676523
King County Metro,Vanpool,Transit Revenue-Miles,2014,4900103
King County Metro,Vanpool,Transit Revenue-Miles,2015,4947972
King County Metro,Vanpool,Transit Revenue-Miles,2016,4961067
King County Metro,Vanpool,Transit Revenue-Miles,2017,5038342
King County Metro,Vanpool,Transit Revenue-Miles,2018,5095068
King County Metro,Vanpool,Transit Revenue-Miles,2019,4777372
King County Metro,Vanpool,Transit Revenue-Miles,2020,3132406
King County Metro,Vanpool,Transit Revenue-Miles,2021,1003432
King County Metro,Vanpool,Transit Revenue-Miles,2022,1248894
King County Metro,Vanpool,Transit Revenue-Miles,2023,1903109
Kitsap Transit,Bus,Transit Boardings,2002,1257951
Kitsap Transit,Bus,Transit Boardings,2003,1339317
Kitsap Transit,Bus,Transit Boardings,2004,1405818
Kitsap Transit,Bus,Transit Boardings,2005,1350050
Kitsap Transit,Bus,Transit Boardings,2006,1324720
Kitsap Transit,Bus,Transit Boardings,2007,1275495
Kitsap Transit,Bus,Transit Boardings,2008,1348630
Kitsap Transit,Bus,Transit Boardings,2009,1276876
Kitsap Transit,Bus,Transit Boardings,2010,1004520
Kitsap Transit,Bus,Transit Boardings,2011,1002995
Kitsap Transit,Bus,Transit Boardings,2012,986609
Kitsap Transit,Bus,Transit Boardings,2013,1030590
Kitsap Transit,Bus,Transit Boardings,2014,965060
Kitsap Transit,Bus,Transit Boardings,2015,964861
Kitsap Transit,Bus,Transit Boardings,2016,900760
Kitsap Transit,Bus,Transit Boardings,2017,855581
Kitsap Transit,Bus,Transit Boardings,2018,856529
Kitsap Transit,Bus,Transit Boardings,2019,779438
Kitsap Transit,Bus,Transit Boardings,2020,585716
Kitsap Transit,Bus,Transit Boardings,2021,299922
Kitsap Transit,Bus,Transit Boardings,2022,345970
Kitsap Transit,Bus,Transit Boardings,2023,419508
Kitsap Transit,Bus,Transit Revenue-Hours,2002,42507
Kitsap Transit,Bus,Transit Revenue-Hours,2003,47689
Kitsap Transit,Bus,Transit Revenue-Hours,2004,48639
Kitsap Transit,Bus,Transit Revenue-Hours,2005,48225
Kitsap Transit,Bus,Transit Revenue-Hours,2006,44232
Kitsap Transit,Bus,Transit Revenue-Hours,2007,44400
Kitsap Transit,Bus,Transit Revenue-Hours,2008,43606
Kitsap Transit,Bus,Transit Revenue-Hours,2009,40411
Kitsap Transit,Bus,Transit Revenue-Hours,2010,35326
Kitsap Transit,Bus,Transit Revenue-Hours,2011,35962
Kitsap Transit,Bus,Transit Revenue-Hours,2012,35802
Kitsap Transit,Bus,Transit Revenue-Hours,2013,35790
Kitsap Transit,Bus,Transit Revenue-Hours,2014,41869
Kitsap Transit,Bus,Transit Revenue-Hours,2015,42286
Kitsap Transit,Bus,Transit Revenue-Hours,2016,41694
Kitsap Transit,Bus,Transit Revenue-Hours,2017,41280
Kitsap Transit,Bus,Transit Revenue-Hours,2018,44100
Kitsap Transit,Bus,Transit Revenue-Hours,2019,48276
Kitsap Transit,Bus,Transit Revenue-Hours,2020,47183
Kitsap Transit,Bus,Transit Revenue-Hours,2021,38072
Kitsap Transit,Bus,Transit Revenue-Hours,2022,35412
Kitsap Transit,Bus,Transit Revenue-Hours,2023,39680
Kitsap Transit,Bus,Transit Revenue-Miles,2002,721707
Kitsap Transit,Bus,Transit Revenue-Miles,2003,833701
Kitsap Transit,Bus,Transit Revenue-Miles,2004,855923
Kitsap Transit,Bus,Transit Revenue-Miles,2005,870856
Kitsap Transit,Bus,Transit Revenue-Miles,2006,814026
Kitsap Transit,Bus,Transit Revenue-Miles,2007,814290
Kitsap Transit,Bus,Transit Revenue-Miles,2008,799360
Kitsap Transit,Bus,Transit Revenue-Miles,2009,742296
Kitsap Transit,Bus,Transit Revenue-Miles,2010,660654
Kitsap Transit,Bus,Transit Revenue-Miles,2011,648944
Kitsap Transit,Bus,Transit Revenue-Miles,2012,648498
Kitsap Transit,Bus,Transit Revenue-Miles,2013,663585
Kitsap Transit,Bus,Transit Revenue-Miles,2014,649738
Kitsap Transit,Bus,Transit Revenue-Miles,2015,656006
Kitsap Transit,Bus,Transit Revenue-Miles,2016,694143
Kitsap Transit,Bus,Transit Revenue-Miles,2017,680655
Kitsap Transit,Bus,Transit Revenue-Miles,2018,717687
Kitsap Transit,Bus,Transit Revenue-Miles,2019,757221
Kitsap Transit,Bus,Transit Revenue-Miles,2020,826750
Kitsap Transit,Bus,Transit Revenue-Miles,2021,652686
Kitsap Transit,Bus,Transit Revenue-Miles,2022,706936
Kitsap Transit,Bus,Transit Revenue-Miles,2023,755872
Kitsap Transit,Ferry,Transit Boardings,2002,95916
Kitsap Transit,Ferry,Transit Boardings,2003,110742
Kitsap Transit,Ferry,Transit Boardings,2004,117414
Kitsap Transit,Ferry,Transit Boardings,2005,139114
Kitsap Transit,Ferry,Transit Boardings,2006,141806
Kitsap Transit,Ferry,Transit Boardings,2007,143287
Kitsap Transit,Ferry,Transit Boardings,2008,164032
Kitsap Transit,Ferry,Transit Boardings,2009,154807
Kitsap Transit,Ferry,Transit Boardings,2010,146422
Kitsap Transit,Ferry,Transit Boardings,2011,146767
Kitsap Transit,Ferry,Transit Boardings,2012,140551
Kitsap Transit,Ferry,Transit Boardings,2013,151245
Kitsap Transit,Ferry,Transit Boardings,2014,147532
Kitsap Transit,Ferry,Transit Boardings,2015,155021
Kitsap Transit,Ferry,Transit Boardings,2016,158706
Kitsap Transit,Ferry,Transit Boardings,2017,154107
Kitsap Transit,Ferry,Transit Boardings,2018,257706
Kitsap Transit,Ferry,Transit Boardings,2019,316815
Kitsap Transit,Ferry,Transit Boardings,2020,230161
Kitsap Transit,Ferry,Transit Boardings,2021,131570
Kitsap Transit,Ferry,Transit Boardings,2022,212097
Kitsap Transit,Ferry,Transit Boardings,2023,308984
Kitsap Transit,Ferry,Transit Revenue-Hours,2002,0
Kitsap Transit,Ferry,Transit Revenue-Hours,2003,1891
Kitsap Transit,Ferry,Transit Revenue-Hours,2004,1900
Kitsap Transit,Ferry,Transit Revenue-Hours,2005,2168
Kitsap Transit,Ferry,Transit Revenue-Hours,2006,2157
Kitsap Transit,Ferry,Transit Revenue-Hours,2007,2146
Kitsap Transit,Ferry,Transit Revenue-Hours,2008,2241
Kitsap Transit,Ferry,Transit Revenue-Hours,2009,2036
Kitsap Transit,Ferry,Transit Revenue-Hours,2010,1973
Kitsap Transit,Ferry,Transit Revenue-Hours,2011,1972
Kitsap Transit,Ferry,Transit Revenue-Hours,2012,2113
Kitsap Transit,Ferry,Transit Revenue-Hours,2013,2146
Kitsap Transit,Ferry,Transit Revenue-Hours,2014,2001
Kitsap Transit,Ferry,Transit Revenue-Hours,2015,1972
Kitsap Transit,Ferry,Transit Revenue-Hours,2016,2043
Kitsap Transit,Ferry,Transit Revenue-Hours,2017,1951
Kitsap Transit,Ferry,Transit Revenue-Hours,2018,2817
Kitsap Transit,Ferry,Transit Revenue-Hours,2019,3618
Kitsap Transit,Ferry,Transit Revenue-Hours,2020,3926
Kitsap Transit,Ferry,Transit Revenue-Hours,2021,4059
Kitsap Transit,Ferry,Transit Revenue-Hours,2022,4626
Kitsap Transit,Ferry,Transit Revenue-Hours,2023,4902
Kitsap Transit,Ferry,Transit Revenue-Miles,2002,0
Kitsap Transit,Ferry,Transit Revenue-Miles,2003,12813
Kitsap Transit,Ferry,Transit Revenue-Miles,2004,14604
Kitsap Transit,Ferry,Transit Revenue-Miles,2005,17272
Kitsap Transit,Ferry,Transit Revenue-Miles,2006,17098
Kitsap Transit,Ferry,Transit Revenue-Miles,2007,17070
Kitsap Transit,Ferry,Transit Revenue-Miles,2008,13807
Kitsap Transit,Ferry,Transit Revenue-Miles,2009,15262
Kitsap Transit,Ferry,Transit Revenue-Miles,2010,14892
Kitsap Transit,Ferry,Transit Revenue-Miles,2011,14892
Kitsap Transit,Ferry,Transit Revenue-Miles,2012,15945
Kitsap Transit,Ferry,Transit Revenue-Miles,2013,16051
Kitsap Transit,Ferry,Transit Revenue-Miles,2014,15063
Kitsap Transit,Ferry,Transit Revenue-Miles,2015,14849
Kitsap Transit,Ferry,Transit Revenue-Miles,2016,14935
Kitsap Transit,Ferry,Transit Revenue-Miles,2017,15813
Kitsap Transit,Ferry,Transit Revenue-Miles,2018,34425
Kitsap Transit,Ferry,Transit Revenue-Miles,2019,51082
Kitsap Transit,Ferry,Transit Revenue-Miles,2020,58829
Kitsap Transit,Ferry,Transit Revenue-Miles,2021,69841
Kitsap Transit,Ferry,Transit Revenue-Miles,2022,80274
Kitsap Transit,Ferry,Transit Revenue-Miles,2023,86751
Kitsap Transit,Vanpool,Transit Boardings,2002,59780
Kitsap Transit,Vanpool,Transit Boardings,2003,65883
Kitsap Transit,Vanpool,Transit Boardings,2004,79279
Kitsap Transit,Vanpool,Transit Boardings,2005,94083
Kitsap Transit,Vanpool,Transit Boardings,2006,102766
Kitsap Transit,Vanpool,Transit Boardings,2007,101549
Kitsap Transit,Vanpool,Transit Boardings,2008,101427
Kitsap Transit,Vanpool,Transit Boardings,2009,105466
Kitsap Transit,Vanpool,Transit Boardings,2010,94464
Kitsap Transit,Vanpool,Transit Boardings,2011,87015
Kitsap Transit,Vanpool,Transit Boardings,2012,88093
Kitsap Transit,Vanpool,Transit Boardings,2013,78509
Kitsap Transit,Vanpool,Transit Boardings,2014,83001
Kitsap Transit,Vanpool,Transit Boardings,2015,73070
Kitsap Transit,Vanpool,Transit Boardings,2016,63476
Kitsap Transit,Vanpool,Transit Boardings,2017,56065
Kitsap Transit,Vanpool,Transit Boardings,2018,58480
Kitsap Transit,Vanpool,Transit Boardings,2019,53157
Kitsap Transit,Vanpool,Transit Boardings,2020,37315
Kitsap Transit,Vanpool,Transit Boardings,2021,21300
Kitsap Transit,Vanpool,Transit Boardings,2022,23690
Kitsap Transit,Vanpool,Transit Boardings,2023,27119
Kitsap Transit,Vanpool,Transit Revenue-Hours,2002,6443
Kitsap Transit,Vanpool,Transit Revenue-Hours,2003,9593
Kitsap Transit,Vanpool,Transit Revenue-Hours,2004,12863
Kitsap Transit,Vanpool,Transit Revenue-Hours,2005,14898
Kitsap Transit,Vanpool,Transit Revenue-Hours,2006,50407
Kitsap Transit,Vanpool,Transit Revenue-Hours,2007,15143
Kitsap Transit,Vanpool,Transit Revenue-Hours,2008,14537
Kitsap Transit,Vanpool,Transit Revenue-Hours,2009,14773
Kitsap Transit,Vanpool,Transit Revenue-Hours,2010,13513
Kitsap Transit,Vanpool,Transit Revenue-Hours,2011,11590
Kitsap Transit,Vanpool,Transit Revenue-Hours,2012,11860
Kitsap Transit,Vanpool,Transit Revenue-Hours,2013,10570
Kitsap Transit,Vanpool,Transit Revenue-Hours,2014,11685
Kitsap Transit,Vanpool,Transit Revenue-Hours,2015,10810
Kitsap Transit,Vanpool,Transit Revenue-Hours,2016,8706
Kitsap Transit,Vanpool,Transit Revenue-Hours,2017,7883
Kitsap Transit,Vanpool,Transit Revenue-Hours,2018,9170
Kitsap Transit,Vanpool,Transit Revenue-Hours,2019,7912
Kitsap Transit,Vanpool,Transit Revenue-Hours,2020,5587
Kitsap Transit,Vanpool,Transit Revenue-Hours,2021,3955
Kitsap Transit,Vanpool,Transit Revenue-Hours,2022,5274
Kitsap Transit,Vanpool,Transit Revenue-Hours,2023,6144
Kitsap Transit,Vanpool,Transit Revenue-Miles,2002,205061
Kitsap Transit,Vanpool,Transit Revenue-Miles,2003,277785
Kitsap Transit,Vanpool,Transit Revenue-Miles,2004,357079
Kitsap Transit,Vanpool,Transit Revenue-Miles,2005,391409
Kitsap Transit,Vanpool,Transit Revenue-Miles,2006,470352
Kitsap Transit,Vanpool,Transit Revenue-Miles,2007,448621
Kitsap Transit,Vanpool,Transit Revenue-Miles,2008,450253
Kitsap Transit,Vanpool,Transit Revenue-Miles,2009,441564
Kitsap Transit,Vanpool,Transit Revenue-Miles,2010,413046
Kitsap Transit,Vanpool,Transit Revenue-Miles,2011,362738
Kitsap Transit,Vanpool,Transit Revenue-Miles,2012,370532
Kitsap Transit,Vanpool,Transit Revenue-Miles,2013,336642
Kitsap Transit,Vanpool,Transit Revenue-Miles,2014,356108
Kitsap Transit,Vanpool,Transit Revenue-Miles,2015,339222
Kitsap Transit,Vanpool,Transit Revenue-Miles,2016,289197
Kitsap Transit,Vanpool,Transit Revenue-Miles,2017,260121
Kitsap Transit,Vanpool,Transit Revenue-Miles,2018,275104
Kitsap Transit,Vanpool,Transit Revenue-Miles,2019,237176
Kitsap Transit,Vanpool,Transit Revenue-Miles,2020,167619
Kitsap Transit,Vanpool,Transit Revenue-Miles,2021,118652
Kitsap Transit,Vanpool,Transit Revenue-Miles,2022,158228
Kitsap Transit,Vanpool,Transit Revenue-Miles,2023,184312
Pierce Transit,Bus,Transit Boardings,2002,4273849
Pierce Transit,Bus,Transit Boardings,2003,4438908
Pierce Transit,Bus,Transit Boardings,2004,4636366
Pierce Transit,Bus,Transit Boardings,2005,3976703
Pierce Transit,Bus,Transit Boardings,2006,4108683
Pierce Transit,Bus,Transit Boardings,2007,4281882
Pierce Transit,Bus,Transit Boardings,2008,4761739
Pierce Transit,Bus,Transit Boardings,2009,4822022
Pierce Transit,Bus,Transit Boardings,2010,4750875
Pierce Transit,Bus,Transit Boardings,2011,4480483
Pierce Transit,Bus,Transit Boardings,2012,3564168
Pierce Transit,Bus,Transit Boardings,2013,3517598
Pierce Transit,Bus,Transit Boardings,2014,3497713
Pierce Transit,Bus,Transit Boardings,2015,3143499
Pierce Transit,Bus,Transit Boardings,2016,2924963
Pierce Transit,Bus,Transit Boardings,2017,2784141
Pierce Transit,Bus,Transit Boardings,2018,2881413
Pierce Transit,Bus,Transit Boardings,2019,2773299
Pierce Transit,Bus,Transit Boardings,2020,2084144
Pierce Transit,Bus,Transit Boardings,2021,1345132
Pierce Transit,Bus,Transit Boardings,2022,1535008
Pierce Transit,Bus,Transit Boardings,2023,2012726
Pierce Transit,Bus,Transit Revenue-Hours,2002,186914
Pierce Transit,Bus,Transit Revenue-Hours,2003,213555
Pierce Transit,Bus,Transit Revenue-Hours,2004,222488
Pierce Transit,Bus,Transit Revenue-Hours,2005,168244
Pierce Transit,Bus,Transit Revenue-Hours,2006,177958
Pierce Transit,Bus,Transit Revenue-Hours,2007,184975
Pierce Transit,Bus,Transit Revenue-Hours,2008,198705
Pierce Transit,Bus,Transit Revenue-Hours,2009,188616
Pierce Transit,Bus,Transit Revenue-Hours,2010,188517
Pierce Transit,Bus,Transit Revenue-Hours,2011,168103
Pierce Transit,Bus,Transit Revenue-Hours,2012,125813
Pierce Transit,Bus,Transit Revenue-Hours,2013,124885
Pierce Transit,Bus,Transit Revenue-Hours,2014,127479
Pierce Transit,Bus,Transit Revenue-Hours,2015,125035
Pierce Transit,Bus,Transit Revenue-Hours,2016,129889
Pierce Transit,Bus,Transit Revenue-Hours,2017,135803
Pierce Transit,Bus,Transit Revenue-Hours,2018,145638
Pierce Transit,Bus,Transit Revenue-Hours,2019,146548
Pierce Transit,Bus,Transit Revenue-Hours,2020,138460
Pierce Transit,Bus,Transit Revenue-Hours,2021,137346
Pierce Transit,Bus,Transit Revenue-Hours,2022,124227
Pierce Transit,Bus,Transit Revenue-Hours,2023,125157
Pierce Transit,Bus,Transit Revenue-Miles,2002,2955685
Pierce Transit,Bus,Transit Revenue-Miles,2003,3233362
Pierce Transit,Bus,Transit Revenue-Miles,2004,3233963
Pierce Transit,Bus,Transit Revenue-Miles,2005,2222889
Pierce Transit,Bus,Transit Revenue-Miles,2006,2324862
Pierce Transit,Bus,Transit Revenue-Miles,2007,2358370
Pierce Transit,Bus,Transit Revenue-Miles,2008,2485679
Pierce Transit,Bus,Transit Revenue-Miles,2009,2460501
Pierce Transit,Bus,Transit Revenue-Miles,2010,2320164
Pierce Transit,Bus,Transit Revenue-Miles,2011,2099917
Pierce Transit,Bus,Transit Revenue-Miles,2012,1458550
Pierce Transit,Bus,Transit Revenue-Miles,2013,1418234
Pierce Transit,Bus,Transit Revenue-Miles,2014,1456908
Pierce Transit,Bus,Transit Revenue-Miles,2015,1414495
Pierce Transit,Bus,Transit Revenue-Miles,2016,1476712
Pierce Transit,Bus,Transit Revenue-Miles,2017,1539887
Pierce Transit,Bus,Transit Revenue-Miles,2018,1627118
Pierce Transit,Bus,Transit Revenue-Miles,2019,1638871
Pierce Transit,Bus,Transit Revenue-Miles,2020,1510754
Pierce Transit,Bus,Transit Revenue-Miles,2021,1525671
Pierce Transit,Bus,Transit Revenue-Miles,2022,1397303
Pierce Transit,Bus,Transit Revenue-Miles,2023,1386780
Pierce Transit,Vanpool,Transit Boardings,2002,209151
Pierce Transit,Vanpool,Transit Boardings,2003,219198
Pierce Transit,Vanpool,Transit Boardings,2004,228088
Pierce Transit,Vanpool,Transit Boardings,2005,246914
Pierce Transit,Vanpool,Transit Boardings,2006,275841
Pierce Transit,Vanpool,Transit Boardings,2007,260570
Pierce Transit,Vanpool,Transit Boardings,2008,293869
Pierce Transit,Vanpool,Transit Boardings,2009,291503
Pierce Transit,Vanpool,Transit Boardings,2010,290397
Pierce Transit,Vanpool,Transit Boardings,2011,290416
Pierce Transit,Vanpool,Transit Boardings,2012,295018
Pierce Transit,Vanpool,Transit Boardings,2013,316724
Pierce Transit,Vanpool,Transit Boardings,2014,315683
Pierce Transit,Vanpool,Transit Boardings,2015,294328
Pierce Transit,Vanpool,Transit Boardings,2016,288751
Pierce Transit,Vanpool,Transit Boardings,2017,275705
Pierce Transit,Vanpool,Transit Boardings,2018,275871
Pierce Transit,Vanpool,Transit Boardings,2019,254216
Pierce Transit,Vanpool,Transit Boardings,2020,177437
Pierce Transit,Vanpool,Transit Boardings,2021,107671
Pierce Transit,Vanpool,Transit Boardings,2022,125855
Pierce Transit,Vanpool,Transit Boardings,2023,124854
Pierce Transit,Vanpool,Transit Revenue-Hours,2002,23093
Pierce Transit,Vanpool,Transit Revenue-Hours,2003,24155
Pierce Transit,Vanpool,Transit Revenue-Hours,2004,32631
Pierce Transit,Vanpool,Transit Revenue-Hours,2005,34336
Pierce Transit,Vanpool,Transit Revenue-Hours,2006,37149
Pierce Transit,Vanpool,Transit Revenue-Hours,2007,46778
Pierce Transit,Vanpool,Transit Revenue-Hours,2008,49985
Pierce Transit,Vanpool,Transit Revenue-Hours,2009,44508
Pierce Transit,Vanpool,Transit Revenue-Hours,2010,46830
Pierce Transit,Vanpool,Transit Revenue-Hours,2011,46625
Pierce Transit,Vanpool,Transit Revenue-Hours,2012,45978
Pierce Transit,Vanpool,Transit Revenue-Hours,2013,48997
Pierce Transit,Vanpool,Transit Revenue-Hours,2014,47475
Pierce Transit,Vanpool,Transit Revenue-Hours,2015,48503
Pierce Transit,Vanpool,Transit Revenue-Hours,2016,48762
Pierce Transit,Vanpool,Transit Revenue-Hours,2017,50212
Pierce Transit,Vanpool,Transit Revenue-Hours,2018,50274
Pierce Transit,Vanpool,Transit Revenue-Hours,2019,46892
Pierce Transit,Vanpool,Transit Revenue-Hours,2020,33702
Pierce Transit,Vanpool,Transit Revenue-Hours,2021,24389
Pierce Transit,Vanpool,Transit Revenue-Hours,2022,26565
Pierce Transit,Vanpool,Transit Revenue-Hours,2023,31461
Pierce Transit,Vanpool,Transit Revenue-Miles,2002,1082987
Pierce Transit,Vanpool,Transit Revenue-Miles,2003,1128692
Pierce Transit,Vanpool,Transit Revenue-Miles,2004,1223616
Pierce Transit,Vanpool,Transit Revenue-Miles,2005,1287568
Pierce Transit,Vanpool,Transit Revenue-Miles,2006,1428799
Pierce Transit,Vanpool,Transit Revenue-Miles,2007,1368890
Pierce Transit,Vanpool,Transit Revenue-Miles,2008,1453039
Pierce Transit,Vanpool,Transit Revenue-Miles,2009,1479775
Pierce Transit,Vanpool,Transit Revenue-Miles,2010,1558340
Pierce Transit,Vanpool,Transit Revenue-Miles,2011,1547375
Pierce Transit,Vanpool,Transit Revenue-Miles,2012,1543382
Pierce Transit,Vanpool,Transit Revenue-Miles,2013,1655092
Pierce Transit,Vanpool,Transit Revenue-Miles,2014,1597967
Pierce Transit,Vanpool,Transit Revenue-Miles,2015,1550579
Pierce Transit,Vanpool,Transit Revenue-Miles,2016,1560717
Pierce Transit,Vanpool,Transit Revenue-Miles,2017,1606814
Pierce Transit,Vanpool,Transit Revenue-Miles,2018,1613410
Pierce Transit,Vanpool,Transit Revenue-Miles,2019,1510452
Pierce Transit,Vanpool,Transit Revenue-Miles,2020,1207180
Pierce Transit,Vanpool,Transit Revenue-Miles,2021,886634
Pierce Transit,Vanpool,Transit Revenue-Miles,2022,946040
Pierce Transit,Vanpool,Transit Revenue-Miles,2023,1099569
Region,Bus,Transit Boardings,2002,40178573
Region,Bus,Transit Boardings,2003,40333529
Region,Bus,Transit Boardings,2004,42077407
Region,Bus,Transit Boardings,2005,42264975
Region,Bus,Transit Boardings,2006,44656323
Region,Bus,Transit Boardings,2007,48061207
Region,Bus,Transit Boardings,2008,52455045
Region,Bus,Transit Boardings,2009,51866823
Region,Bus,Transit Boardings,2010,50150512
Region,Bus,Transit Boardings,2011,50267223
Region,Bus,Transit Boardings,2012,50735912
Region,Bus,Transit Boardings,2013,52142137
Region,Bus,Transit Boardings,2014,53360323
Region,Bus,Transit Boardings,2015,54034907
Region,Bus,Transit Boardings,2016,54366489
Region,Bus,Transit Boardings,2017,53407838
Region,Bus,Transit Boardings,2018,53956961
Region,Bus,Transit Boardings,2019,53125349
Region,Bus,Transit Boardings,2020,37944684
Region,Bus,Transit Boardings,2021,18491769
Region,Bus,Transit Boardings,2022,24690504
Region,Bus,Transit Boardings,2023,31017173
Region,Bus,Transit Revenue-Hours,2002,1378745
Region,Bus,Transit Revenue-Hours,2003,1437297
Region,Bus,Transit Revenue-Hours,2004,1479908
Region,Bus,Transit Revenue-Hours,2005,1324016
Region,Bus,Transit Revenue-Hours,2006,1535354
Region,Bus,Transit Revenue-Hours,2007,1572668
Region,Bus,Transit Revenue-Hours,2008,1655898
Region,Bus,Transit Revenue-Hours,2009,1641880
Region,Bus,Transit Revenue-Hours,2010,1657927
Region,Bus,Transit Revenue-Hours,2011,1606659
Region,Bus,Transit Revenue-Hours,2012,1554246
Region,Bus,Transit Revenue-Hours,2013,1544202
Region,Bus,Transit Revenue-Hours,2014,1565765
Region,Bus,Transit Revenue-Hours,2015,1556106
Region,Bus,Transit Revenue-Hours,2016,1681838
Region,Bus,Transit Revenue-Hours,2017,1717273
Region,Bus,Transit Revenue-Hours,2018,1775088
Region,Bus,Transit Revenue-Hours,2019,1816946
Region,Bus,Transit Revenue-Hours,2020,1706174
Region,Bus,Transit Revenue-Hours,2021,1650467
Region,Bus,Transit Revenue-Hours,2022,1602686
Region,Bus,Transit Revenue-Hours,2023,1544093
Region,Bus,Transit Revenue-Miles,2002,18971315
Region,Bus,Transit Revenue-Miles,2003,19883116
Region,Bus,Transit Revenue-Miles,2004,20677580
Region,Bus,Transit Revenue-Miles,2005,22973007
Region,Bus,Transit Revenue-Miles,2006,20551582
Region,Bus,Transit Revenue-Miles,2007,20796470
Region,Bus,Transit Revenue-Miles,2008,21694361
Region,Bus,Transit Revenue-Miles,2009,21646425
Region,Bus,Transit Revenue-Miles,2010,21952061
Region,Bus,Transit Revenue-Miles,2011,21493908
Region,Bus,Transit Revenue-Miles,2012,20568662
Region,Bus,Transit Revenue-Miles,2013,20243160
