geography,date,claims
GRAYS HARBOR, 06/05/21,118
ISLAND, 06/05/21,56
JEFFERSON, 06/05/21,22
KING, 06/05/21,1936
KITSAP, 06/05/21,220
KITTITAS, 06/05/21,59
KLICKITAT, 06/05/21,21
LEWIS, 06/05/21,109
LINCOLN, 06/05/21,9
MASON, 06/05/21,89
OKANOGAN, 06/05/21,41
PACIFIC, 06/05/21,13
PEND OREILLE, 06/05/21,14
PIERCE, 06/05/21,1149
SAN JUAN, 06/05/21,8
SKAGIT, 06/05/21,157
SKAMANIA, 06/05/21,12
SNOHOMISH, 06/05/21,837
SPOKANE, 06/05/21,607
STEVENS, 06/05/21,43
THURSTON, 06/05/21,294
WAHKIAKUM, 06/05/21,6
WALLA WALLA, 06/05/21,45
WHATCOM, 06/05/21,241
WHITMAN, 06/05/21,26
YAKIMA, 06/05/21,392
ADAMS, 06/12/21,18
ASOTIN, 06/12/21,3
BENTON, 06/12/21,230
CHELAN, 06/12/21,91
CLALLAM, 06/12/21,60
CLARK, 06/12/21,317
COLUMBIA, 06/12/21,1
COWLITZ, 06/12/21,107
DOUGLAS, 06/12/21,45
FERRY, 06/12/21,4
FRANKLIN, 06/12/21,122
GARFIELD, 06/12/21,3
GRANT, 06/12/21,86
GRAYS HARBOR, 06/12/21,99
ISLAND, 06/12/21,53
JEFFERSON, 06/12/21,22
KING, 06/12/21,1593
KITSAP, 06/12/21,165
KITTITAS, 06/12/21,30
KLICKITAT, 06/12/21,19
LEWIS, 06/12/21,90
LINCOLN, 06/12/21,8
MASON, 06/12/21,57
OKANOGAN, 06/12/21,40
PACIFIC, 06/12/21,11
PEND OREILLE, 06/12/21,16
PIERCE, 06/12/21,982
SAN JUAN, 06/12/21,9
SKAGIT, 06/12/21,137
SKAMANIA, 06/12/21,4
SNOHOMISH, 06/12/21,742
SPOKANE, 06/12/21,406
STEVENS, 06/12/21,33
THURSTON, 06/12/21,255
WAHKIAKUM, 06/12/21,1
WALLA WALLA, 06/12/21,47
WHATCOM, 06/12/21,174
WHITMAN, 06/12/21,12
YAKIMA, 06/12/21,355
ADAMS, 06/19/21,24
ASOTIN, 06/19/21,6
BENTON, 06/19/21,243
CHELAN, 06/19/21,104
CLALLAM, 06/19/21,73
CLARK, 06/19/21,364
COLUMBIA, 06/19/21,2
COWLITZ, 06/19/21,119
DOUGLAS, 06/19/21,51
FERRY, 06/19/21,5
FRANKLIN, 06/19/21,98
GARFIELD, 06/19/21,3
GRANT, 06/19/21,87
GRAYS HARBOR, 06/19/21,80
ISLAND, 06/19/21,68
JEFFERSON, 06/19/21,30
KING, 06/19/21,1969
KITSAP, 06/19/21,189
KITTITAS, 06/19/21,46
KLICKITAT, 06/19/21,15
LEWIS, 06/19/21,105
LINCOLN, 06/19/21,3
MASON, 06/19/21,53
OKANOGAN, 06/19/21,34
PACIFIC, 06/19/21,18
PEND OREILLE, 06/19/21,13
PIERCE, 06/19/21,967
SAN JUAN, 06/19/21,20
SKAGIT, 06/19/21,134
SKAMANIA, 06/19/21,8
SNOHOMISH, 06/19/21,799
SPOKANE, 06/19/21,425
STEVENS, 06/19/21,46
THURSTON, 06/19/21,285
WAHKIAKUM, 06/19/21,1
WALLA WALLA, 06/19/21,39
WHATCOM, 06/19/21,228
WHITMAN, 06/19/21,21
YAKIMA, 06/19/21,354
ADAMS, 06/26/21,22
ASOTIN, 06/26/21,8
BENTON, 06/26/21,258
CHELAN, 06/26/21,92
CLALLAM, 06/26/21,57
CLARK, 06/26/21,404
COLUMBIA, 06/26/21,5
COWLITZ, 06/26/21,129
DOUGLAS, 06/26/21,54
FERRY, 06/26/21,5
FRANKLIN, 06/26/21,111
GARFIELD, 06/26/21,2
GRANT, 06/26/21,89
GRAYS HARBOR, 06/26/21,75
ISLAND, 06/26/21,51
JEFFERSON, 06/26/21,19
KING, 06/26/21,1793
KITSAP, 06/26/21,161
KITTITAS, 06/26/21,40
KLICKITAT, 06/26/21,18
LEWIS, 06/26/21,87
LINCOLN, 06/26/21,4
MASON, 06/26/21,54
OKANOGAN, 06/26/21,34
PACIFIC, 06/26/21,14
PEND OREILLE, 06/26/21,12
PIERCE, 06/26/21,1045
SAN JUAN, 06/26/21,10
SKAGIT, 06/26/21,158
SKAMANIA, 06/26/21,10
SNOHOMISH, 06/26/21,822
SPOKANE, 06/26/21,489
STEVENS, 06/26/21,57
THURSTON, 06/26/21,282
WAHKIAKUM, 06/26/21,3
WALLA WALLA, 06/26/21,34
WHATCOM, 06/26/21,250
WHITMAN, 06/26/21,17
YAKIMA, 06/26/21,346
ADAMS, 07/03/21,101
ASOTIN, 07/03/21,5
BENTON, 07/03/21,215
CHELAN, 07/03/21,74
CLALLAM, 07/03/21,67
CLARK, 07/03/21,328
COLUMBIA, 07/03/21,4
COWLITZ, 07/03/21,97
DOUGLAS, 07/03/21,31
FERRY, 07/03/21,5
FRANKLIN, 07/03/21,101
GARFIELD, 07/03/21,1
GRANT, 07/03/21,103
GRAYS HARBOR, 07/03/21,71
ISLAND, 07/03/21,41
JEFFERSON, 07/03/21,20
KING, 07/03/21,1304
KITSAP, 07/03/21,133
KITTITAS, 07/03/21,31
KLICKITAT, 07/03/21,26
LEWIS, 07/03/21,71
LINCOLN, 07/03/21,2
MASON, 07/03/21,39
OKANOGAN, 07/03/21,34
PACIFIC, 07/03/21,13
PEND OREILLE, 07/03/21,8
PIERCE, 07/03/21,754
SAN JUAN, 07/03/21,6
SKAGIT, 07/03/21,131
SKAMANIA, 07/03/21,8
SNOHOMISH, 07/03/21,635
SPOKANE, 07/03/21,336
STEVENS, 07/03/21,33
THURSTON, 07/03/21,235
WAHKIAKUM, 07/03/21,0
WALLA WALLA, 07/03/21,28
WHATCOM, 07/03/21,193
WHITMAN, 07/03/21,10
YAKIMA, 07/03/21,274
ADAMS, 07/10/21,60
ASOTIN, 07/10/21,5
BENTON, 07/10/21,199
CHELAN, 07/10/21,70
CLALLAM, 07/10/21,45
CLARK, 07/10/21,222
COLUMBIA, 07/10/21,1
COWLITZ, 07/10/21,90
DOUGLAS, 07/10/21,36
FERRY, 07/10/21,6
FRANKLIN, 07/10/21,105
GARFIELD, 07/10/21,0
GRANT, 07/10/21,93
GRAYS HARBOR, 07/10/21,56
ISLAND, 07/10/21,33
JEFFERSON, 07/10/21,18
KING, 07/10/21,1283
KITSAP, 07/10/21,115
KITTITAS, 07/10/21,27
KLICKITAT, 07/10/21,15
LEWIS, 07/10/21,59
LINCOLN, 07/10/21,7
MASON, 07/10/21,39
OKANOGAN, 07/10/21,29
PACIFIC, 07/10/21,13
PEND OREILLE, 07/10/21,4
PIERCE, 07/10/21,731
SAN JUAN, 07/10/21,6
SKAGIT, 07/10/21,110
SKAMANIA, 07/10/21,3
SNOHOMISH, 07/10/21,565
SPOKANE, 07/10/21,294
STEVENS, 07/10/21,34
THURSTON, 07/10/21,185
WAHKIAKUM, 07/10/21,1
WALLA WALLA, 07/10/21,31
WHATCOM, 07/10/21,191
WHITMAN, 07/10/21,9
YAKIMA, 07/10/21,337
ADAMS, 07/17/21,21
ASOTIN, 07/17/21,5
BENTON, 07/17/21,186
CHELAN, 07/17/21,93
CLALLAM, 07/17/21,39
CLARK, 07/17/21,234
COLUMBIA, 07/17/21,1
COWLITZ, 07/17/21,73
DOUGLAS, 07/17/21,66
FERRY, 07/17/21,4
FRANKLIN, 07/17/21,87
GARFIELD, 07/17/21,1
GRANT, 07/17/21,68
GRAYS HARBOR, 07/17/21,57
ISLAND, 07/17/21,54
JEFFERSON, 07/17/21,15
KING, 07/17/21,1110
KITSAP, 07/17/21,128
KITTITAS, 07/17/21,22
KLICKITAT, 07/17/21,8
LEWIS, 07/17/21,46
LINCOLN, 07/17/21,5
MASON, 07/17/21,41
OKANOGAN, 07/17/21,55
PACIFIC, 07/17/21,16
PEND OREILLE, 07/17/21,4
PIERCE, 07/17/21,659
SAN JUAN, 07/17/21,2
SKAGIT, 07/17/21,110
SKAMANIA, 07/17/21,4
SNOHOMISH, 07/17/21,561
SPOKANE, 07/17/21,288
STEVENS, 07/17/21,32
THURSTON, 07/17/21,196
WAHKIAKUM, 07/17/21,1
WALLA WALLA, 07/17/21,29
WHATCOM, 07/17/21,122
WHITMAN, 07/17/21,8
YAKIMA, 07/17/21,317
ADAMS, 07/24/21,7
ASOTIN, 07/24/21,3
BENTON, 07/24/21,153
CHELAN, 07/24/21,70
CLALLAM, 07/24/21,33
CLARK, 07/24/21,194
COLUMBIA, 07/24/21,2
COWLITZ, 07/24/21,77
DOUGLAS, 07/24/21,49
FERRY, 07/24/21,4
FRANKLIN, 07/24/21,82
GARFIELD, 07/24/21,2
GRANT, 07/24/21,71
GRAYS HARBOR, 07/24/21,58
ISLAND, 07/24/21,35
JEFFERSON, 07/24/21,15
KING, 07/24/21,1032
KITSAP, 07/24/21,113
KITTITAS, 07/24/21,25
KLICKITAT, 07/24/21,9
LEWIS, 07/24/21,62
LINCOLN, 07/24/21,5
MASON, 07/24/21,43
OKANOGAN, 07/24/21,44
PACIFIC, 07/24/21,14
PEND OREILLE, 07/24/21,8
PIERCE, 07/24/21,574
SAN JUAN, 07/24/21,5
SKAGIT, 07/24/21,94
SKAMANIA, 07/24/21,6
SNOHOMISH, 07/24/21,473
SPOKANE, 07/24/21,259
STEVENS, 07/24/21,24
THURSTON, 07/24/21,166
WAHKIAKUM, 07/24/21,3
WALLA WALLA, 07/24/21,21
WHATCOM, 07/24/21,147
WHITMAN, 07/24/21,10
YAKIMA, 07/24/21,300
ADAMS, 07/31/21,9
ASOTIN, 07/31/21,6
BENTON, 07/31/21,218
CHELAN, 07/31/21,107
CLALLAM, 07/31/21,34
CLARK, 07/31/21,202
COLUMBIA, 07/31/21,3
COWLITZ, 07/31/21,99
DOUGLAS, 07/31/21,47
FERRY, 07/31/21,5
FRANKLIN, 07/31/21,95
GARFIELD, 07/31/21,0
GRANT, 07/31/21,79
GRAYS HARBOR, 07/31/21,49
ISLAND, 07/31/21,28
JEFFERSON, 07/31/21,10
KING, 07/31/21,982
KITSAP, 07/31/21,124
KITTITAS, 07/31/21,22
KLICKITAT, 07/31/21,6
LEWIS, 07/31/21,68
LINCOLN, 07/31/21,4
MASON, 07/31/21,26
OKANOGAN, 07/31/21,38
PACIFIC, 07/31/21,14
PEND OREILLE, 07/31/21,6
PIERCE, 07/31/21,646
SAN JUAN, 07/31/21,1
SKAGIT, 07/31/21,98
SKAMANIA, 07/31/21,2
SNOHOMISH, 07/31/21,464
SPOKANE, 07/31/21,285
STEVENS, 07/31/21,40
THURSTON, 07/31/21,194
WAHKIAKUM, 07/31/21,2
WALLA WALLA, 07/31/21,35
WHATCOM, 07/31/21,137
WHITMAN, 07/31/21,6
YAKIMA, 07/31/21,427
ADAMS, 08/07/21,12
ASOTIN, 08/07/21,8
BENTON, 08/07/21,204
CHELAN, 08/07/21,91
CLALLAM, 08/07/21,36
CLARK, 08/07/21,253
COLUMBIA, 08/07/21,3
COWLITZ, 08/07/21,113
DOUGLAS, 08/07/21,26
FERRY, 08/07/21,2
FRANKLIN, 08/07/21,108
GARFIELD, 08/07/21,2
GRANT, 08/07/21,80
GRAYS HARBOR, 08/07/21,50
ISLAND, 08/07/21,36
JEFFERSON, 08/07/21,9
KING, 08/07/21,1130
KITSAP, 08/07/21,142
KITTITAS, 08/07/21,27
KLICKITAT, 08/07/21,12
LEWIS, 08/07/21,83
LINCOLN, 08/07/21,1
MASON, 08/07/21,38
OKANOGAN, 08/07/21,35
PACIFIC, 08/07/21,9
PEND OREILLE, 08/07/21,4
PIERCE, 08/07/21,697
SAN JUAN, 08/07/21,6
SKAGIT, 08/07/21,106
SKAMANIA, 08/07/21,3
SNOHOMISH, 08/07/21,533
SPOKANE, 08/07/21,339
STEVENS, 08/07/21,59
THURSTON, 08/07/21,183
WAHKIAKUM, 08/07/21,0
WALLA WALLA, 08/07/21,24
WHATCOM, 08/07/21,153
WHITMAN, 08/07/21,4
YAKIMA, 08/07/21,471
ADAMS, 08/14/21,22
ASOTIN, 08/14/21,3
BENTON, 08/14/21,186
CHELAN, 08/14/21,111
CLALLAM, 08/14/21,38
CLARK, 08/14/21,245
COLUMBIA, 08/14/21,5
COWLITZ, 08/14/21,135
DOUGLAS, 08/14/21,49
FERRY, 08/14/21,1
FRANKLIN, 08/14/21,84
GARFIELD, 08/14/21,0
GRANT, 08/14/21,85
GRAYS HARBOR, 08/14/21,62
ISLAND, 08/14/21,28
JEFFERSON, 08/14/21,7
KING, 08/14/21,1126
KITSAP, 08/14/21,112
KITTITAS, 08/14/21,44
KLICKITAT, 08/14/21,8
LEWIS, 08/14/21,106
LINCOLN, 08/14/21,8
MASON, 08/14/21,55
OKANOGAN, 08/14/21,33
PACIFIC, 08/14/21,15
PEND OREILLE, 08/14/21,12
PIERCE, 08/14/21,697
SAN JUAN, 08/14/21,3
SKAGIT, 08/14/21,97
SKAMANIA, 08/14/21,4
SNOHOMISH, 08/14/21,540
SPOKANE, 08/14/21,370
STEVENS, 08/14/21,34
THURSTON, 08/14/21,186
WAHKIAKUM, 08/14/21,1
WALLA WALLA, 08/14/21,23
WHATCOM, 08/14/21,161
WHITMAN, 08/14/21,9
YAKIMA, 08/14/21,502
ADAMS, 08/21/21,13
ASOTIN, 08/21/21,9
BENTON, 08/21/21,184
CHELAN, 08/21/21,100
CLALLAM, 08/21/21,45
CLARK, 08/21/21,237
COLUMBIA, 08/21/21,3
COWLITZ, 08/21/21,113
DOUGLAS, 08/21/21,51
FERRY, 08/21/21,2
FRANKLIN, 08/21/21,95
GARFIELD, 08/21/21,1
GRANT, 08/21/21,78
GRAYS HARBOR, 08/21/21,91
ISLAND, 08/21/21,30
JEFFERSON, 08/21/21,10
KING, 08/21/21,1033
KITSAP, 08/21/21,142
KITTITAS, 08/21/21,23
KLICKITAT, 08/21/21,7
LEWIS, 08/21/21,80
LINCOLN, 08/21/21,5
MASON, 08/21/21,88
OKANOGAN, 08/21/21,33
PACIFIC, 08/21/21,17
PEND OREILLE, 08/21/21,6
PIERCE, 08/21/21,708
SAN JUAN, 08/21/21,1
SKAGIT, 08/21/21,121
SKAMANIA, 08/21/21,9
SNOHOMISH, 08/21/21,488
SPOKANE, 08/21/21,402
STEVENS, 08/21/21,24
THURSTON, 08/21/21,202
WAHKIAKUM, 08/21/21,2
WALLA WALLA, 08/21/21,20
WHATCOM, 08/21/21,162
WHITMAN, 08/21/21,14
YAKIMA, 08/21/21,360
ADAMS, 08/28/21,13
ASOTIN, 08/28/21,6
BENTON, 08/28/21,192
CHELAN, 08/28/21,81
CLALLAM, 08/28/21,47
CLARK, 08/28/21,223
COLUMBIA, 08/28/21,1
COWLITZ, 08/28/21,94
DOUGLAS, 08/28/21,37
FERRY, 08/28/21,4
FRANKLIN, 08/28/21,83
GARFIELD, 08/28/21,0
GRANT, 08/28/21,81
GRAYS HARBOR, 08/28/21,71
ISLAND, 08/28/21,33
JEFFERSON, 08/28/21,8
KING, 08/28/21,1027
KITSAP, 08/28/21,112
KITTITAS, 08/28/21,22
KLICKITAT, 08/28/21,14
LEWIS, 08/28/21,81
LINCOLN, 08/28/21,9
MASON, 08/28/21,40
OKANOGAN, 08/28/21,33
PACIFIC, 08/28/21,11
PEND OREILLE, 08/28/21,8
PIERCE, 08/28/21,726
SAN JUAN, 08/28/21,6
SKAGIT, 08/28/21,117
SKAMANIA, 08/28/21,5
SNOHOMISH, 08/28/21,492
SPOKANE, 08/28/21,368
STEVENS, 08/28/21,62
THURSTON, 08/28/21,181
WAHKIAKUM, 08/28/21,0
WALLA WALLA, 08/28/21,30
WHATCOM, 08/28/21,150
WHITMAN, 08/28/21,17
YAKIMA, 08/28/21,271
ADAMS, 09/04/21,15
ASOTIN, 09/04/21,7
BENTON, 09/04/21,203
CHELAN, 09/04/21,59
CLALLAM, 09/04/21,67
CLARK, 09/04/21,301
COLUMBIA, 09/04/21,1
COWLITZ, 09/04/21,122
DOUGLAS, 09/04/21,29
FERRY, 09/04/21,4
FRANKLIN, 09/04/21,100
GARFIELD, 09/04/21,0
GRANT, 09/04/21,79
GRAYS HARBOR, 09/04/21,67
ISLAND, 09/04/21,34
JEFFERSON, 09/04/21,20
KING, 09/04/21,1056
KITSAP, 09/04/21,103
KITTITAS, 09/04/21,19
KLICKITAT, 09/04/21,4
LEWIS, 09/04/21,76
LINCOLN, 09/04/21,1
MASON, 09/04/21,50
OKANOGAN, 09/04/21,29
PACIFIC, 09/04/21,11
PEND OREILLE, 09/04/21,8
PIERCE, 09/04/21,768
SAN JUAN, 09/04/21,3
SKAGIT, 09/04/21,122
SKAMANIA, 09/04/21,5
SNOHOMISH, 09/04/21,533
SPOKANE, 09/04/21,333
STEVENS, 09/04/21,47
THURSTON, 09/04/21,179
WAHKIAKUM, 09/04/21,0
WALLA WALLA, 09/04/21,20
WHATCOM, 09/04/21,145
WHITMAN, 09/04/21,5
YAKIMA, 09/04/21,228
ADAMS, 09/11/21,8
ASOTIN, 09/11/21,6
BENTON, 09/11/21,162
CHELAN, 09/11/21,62
CLALLAM, 09/11/21,49
CLARK, 09/11/21,225
COLUMBIA, 09/11/21,3
COWLITZ, 09/11/21,96
DOUGLAS, 09/11/21,25
FERRY, 09/11/21,6
FRANKLIN, 09/11/21,77
GARFIELD, 09/11/21,0
GRANT, 09/11/21,66
GRAYS HARBOR, 09/11/21,57
ISLAND, 09/11/21,35
JEFFERSON, 09/11/21,11
KING, 09/11/21,1056
KITSAP, 09/11/21,107
KITTITAS, 09/11/21,27
KLICKITAT, 09/11/21,11
LEWIS, 09/11/21,68
LINCOLN, 09/11/21,6
MASON, 09/11/21,45
OKANOGAN, 09/11/21,33
PACIFIC, 09/11/21,11
PEND OREILLE, 09/11/21,4
PIERCE, 09/11/21,630
SAN JUAN, 09/11/21,6
SKAGIT, 09/11/21,116
SKAMANIA, 09/11/21,7
SNOHOMISH, 09/11/21,522
SPOKANE, 09/11/21,293
STEVENS, 09/11/21,60
THURSTON, 09/11/21,197
WAHKIAKUM, 09/11/21,0
WALLA WALLA, 09/11/21,26
WHATCOM, 09/11/21,152
WHITMAN, 09/11/21,6
YAKIMA, 09/11/21,246
ADAMS, 09/18/21,9
ASOTIN, 09/18/21,3
BENTON, 09/18/21,163
CHELAN, 09/18/21,42
CLALLAM, 09/18/21,46
CLARK, 09/18/21,244
COLUMBIA, 09/18/21,0
COWLITZ, 09/18/21,97
DOUGLAS, 09/18/21,20
FERRY, 09/18/21,3
FRANKLIN, 09/18/21,76
GARFIELD, 09/18/21,1
GRANT, 09/18/21,70
GRAYS HARBOR, 09/18/21,71
ISLAND, 09/18/21,31
JEFFERSON, 09/18/21,18
KING, 09/18/21,1079
KITSAP, 09/18/21,123
KITTITAS, 09/18/21,19
KLICKITAT, 09/18/21,7
LEWIS, 09/18/21,63
LINCOLN, 09/18/21,7
MASON, 09/18/21,47
OKANOGAN, 09/18/21,36
PACIFIC, 09/18/21,13
PEND OREILLE, 09/18/21,5
PIERCE, 09/18/21,700
SAN JUAN, 09/18/21,3
SKAGIT, 09/18/21,96
SKAMANIA, 09/18/21,4
SNOHOMISH, 09/18/21,495
SPOKANE, 09/18/21,298
STEVENS, 09/18/21,56
THURSTON, 09/18/21,186
WAHKIAKUM, 09/18/21,1
WALLA WALLA, 09/18/21,28
WHATCOM, 09/18/21,149
WHITMAN, 09/18/21,6
YAKIMA, 09/18/21,197
ADAMS, 09/25/21,12
ASOTIN, 09/25/21,3
BENTON, 09/25/21,164
CHELAN, 09/25/21,45
CLALLAM, 09/25/21,55
CLARK, 09/25/21,234
COLUMBIA, 09/25/21,2
COWLITZ, 09/25/21,102
DOUGLAS, 09/25/21,28
FERRY, 09/25/21,1
FRANKLIN, 09/25/21,78
GARFIELD, 09/25/21,0
GRANT, 09/25/21,72
GRAYS HARBOR, 09/25/21,77
ISLAND, 09/25/21,24
JEFFERSON, 09/25/21,14
KING, 09/25/21,1178
KITSAP, 09/25/21,106
KITTITAS, 09/25/21,25
KLICKITAT, 09/25/21,9
LEWIS, 09/25/21,54
LINCOLN, 09/25/21,4
MASON, 09/25/21,37
OKANOGAN, 09/25/21,15
PACIFIC, 09/25/21,18
PEND OREILLE, 09/25/21,2
PIERCE, 09/25/21,720
SAN JUAN, 09/25/21,5
SKAGIT, 09/25/21,103
SKAMANIA, 09/25/21,3
SNOHOMISH, 09/25/21,553
SPOKANE, 09/25/21,287
STEVENS, 09/25/21,22
THURSTON, 09/25/21,185
WAHKIAKUM, 09/25/21,0
WALLA WALLA, 09/25/21,33
WHATCOM, 09/25/21,151
WHITMAN, 09/25/21,6
YAKIMA, 09/25/21,181
ADAMS, 10/02/21,13
ASOTIN, 10/02/21,8
BENTON, 10/02/21,153
CHELAN, 10/02/21,48
CLALLAM, 10/02/21,42
CLARK, 10/02/21,208
COLUMBIA, 10/02/21,2
COWLITZ, 10/02/21,71
DOUGLAS, 10/02/21,30
FERRY, 10/02/21,4
FRANKLIN, 10/02/21,64
GARFIELD, 10/02/21,0
GRANT, 10/02/21,52
GRAYS HARBOR, 10/02/21,49
ISLAND, 10/02/21,32
JEFFERSON, 10/02/21,8
KING, 10/02/21,1118
KITSAP, 10/02/21,124
KITTITAS, 10/02/21,22
KLICKITAT, 10/02/21,7
LEWIS, 10/02/21,72
LINCOLN, 10/02/21,4
MASON, 10/02/21,66
OKANOGAN, 10/02/21,22
PACIFIC, 10/02/21,12
PEND OREILLE, 10/02/21,5
PIERCE, 10/02/21,750
SAN JUAN, 10/02/21,9
SKAGIT, 10/02/21,110
SKAMANIA, 10/02/21,11
SNOHOMISH, 10/02/21,561
SPOKANE, 10/02/21,247
STEVENS, 10/02/21,21
THURSTON, 10/02/21,189
WAHKIAKUM, 10/02/21,1
WALLA WALLA, 10/02/21,23
WHATCOM, 10/02/21,106
WHITMAN, 10/02/21,9
YAKIMA, 10/02/21,216
ADAMS, 10/09/21,11
ASOTIN, 10/09/21,11
BENTON, 10/09/21,167
CHELAN, 10/09/21,56
CLALLAM, 10/09/21,48
CLARK, 10/09/21,243
COLUMBIA, 10/09/21,2
COWLITZ, 10/09/21,93
DOUGLAS, 10/09/21,27
FERRY, 10/09/21,5
FRANKLIN, 10/09/21,79
GARFIELD, 10/09/21,0
GRANT, 10/09/21,82
GRAYS HARBOR, 10/09/21,66
ISLAND, 10/09/21,36
JEFFERSON, 10/09/21,16
KING, 10/09/21,1150
KITSAP, 10/09/21,116
KITTITAS, 10/09/21,20
KLICKITAT, 10/09/21,19
LEWIS, 10/09/21,88
LINCOLN, 10/09/21,6
MASON, 10/09/21,54
OKANOGAN, 10/09/21,25
PACIFIC, 10/09/21,13
PEND OREILLE, 10/09/21,3
PIERCE, 10/09/21,709
SAN JUAN, 10/09/21,9
SKAGIT, 10/09/21,120
SKAMANIA, 10/09/21,10
SNOHOMISH, 10/09/21,551
SPOKANE, 10/09/21,287
STEVENS, 10/09/21,30
THURSTON, 10/09/21,176
WAHKIAKUM, 10/09/21,3
WALLA WALLA, 10/09/21,20
WHATCOM, 10/09/21,159
WHITMAN, 10/09/21,8
YAKIMA, 10/09/21,318
ADAMS, 10/16/21,22
ASOTIN, 10/16/21,4
BENTON, 10/16/21,164
CHELAN, 10/16/21,76
CLALLAM, 10/16/21,37
CLARK, 10/16/21,236
COLUMBIA, 10/16/21,2
COWLITZ, 10/16/21,86
DOUGLAS, 10/16/21,29
FERRY, 10/16/21,5
FRANKLIN, 10/16/21,74
GARFIELD, 10/16/21,1
GRANT, 10/16/21,67
GRAYS HARBOR, 10/16/21,89
ISLAND, 10/16/21,24
JEFFERSON, 10/16/21,9
KING, 10/16/21,970
KITSAP, 10/16/21,110
KITTITAS, 10/16/21,22
KLICKITAT, 10/16/21,13
LEWIS, 10/16/21,73
LINCOLN, 10/16/21,5
MASON, 10/16/21,53
OKANOGAN, 10/16/21,20
PACIFIC, 10/16/21,15
PEND OREILLE, 10/16/21,3
PIERCE, 10/16/21,632
SAN JUAN, 10/16/21,9
SKAGIT, 10/16/21,119
SKAMANIA, 10/16/21,4
SNOHOMISH, 10/16/21,491
SPOKANE, 10/16/21,279
STEVENS, 10/16/21,29
THURSTON, 10/16/21,178
WAHKIAKUM, 10/16/21,0
WALLA WALLA, 10/16/21,30
WHATCOM, 10/16/21,139
WHITMAN, 10/16/21,14
YAKIMA, 10/16/21,295
ADAMS, 10/23/21,16
ASOTIN, 10/23/21,9
BENTON, 10/23/21,193
CHELAN, 10/23/21,93
CLALLAM, 10/23/21,78
CLARK, 10/23/21,293
COLUMBIA, 10/23/21,1
COWLITZ, 10/23/21,104
DOUGLAS, 10/23/21,38
FERRY, 10/23/21,9
FRANKLIN, 10/23/21,103
GARFIELD, 10/23/21,0
GRANT, 10/23/21,93
GRAYS HARBOR, 10/23/21,83
ISLAND, 10/23/21,46
JEFFERSON, 10/23/21,14
KING, 10/23/21,1012
KITSAP, 10/23/21,115
KITTITAS, 10/23/21,28
KLICKITAT, 10/23/21,21
LEWIS, 10/23/21,95
LINCOLN, 10/23/21,7
MASON, 10/23/21,78
OKANOGAN, 10/23/21,37
PACIFIC, 10/23/21,9
PEND OREILLE, 10/23/21,7
PIERCE, 10/23/21,728
SAN JUAN, 10/23/21,6
SKAGIT, 10/23/21,124
SKAMANIA, 10/23/21,4
SNOHOMISH, 10/23/21,573
SPOKANE, 10/23/21,363
STEVENS, 10/23/21,44
THURSTON, 10/23/21,244
WAHKIAKUM, 10/23/21,1
WALLA WALLA, 10/23/21,55
WHATCOM, 10/23/21,168
WHITMAN, 10/23/21,10
YAKIMA, 10/23/21,357
ADAMS, 10/30/21,26
ASOTIN, 10/30/21,5
BENTON, 10/30/21,176
CHELAN, 10/30/21,87
CLALLAM, 10/30/21,53
CLARK, 10/30/21,253
COLUMBIA, 10/30/21,1
COWLITZ, 10/30/21,92
DOUGLAS, 10/30/21,38
FERRY, 10/30/21,3
FRANKLIN, 10/30/21,97
GARFIELD, 10/30/21,0
GRANT, 10/30/21,120
GRAYS HARBOR, 10/30/21,85
ISLAND, 10/30/21,34
JEFFERSON, 10/30/21,11
KING, 10/30/21,1015
KITSAP, 10/30/21,127
KITTITAS, 10/30/21,31
KLICKITAT, 10/30/21,12
LEWIS, 10/30/21,88
LINCOLN, 10/30/21,8
MASON, 10/30/21,66
OKANOGAN, 10/30/21,48
PACIFIC, 10/30/21,22
PEND OREILLE, 10/30/21,8
PIERCE, 10/30/21,712
SAN JUAN, 10/30/21,11
SKAGIT, 10/30/21,114
SKAMANIA, 10/30/21,13
SNOHOMISH, 10/30/21,551
SPOKANE, 10/30/21,300
STEVENS, 10/30/21,35
THURSTON, 10/30/21,215
WAHKIAKUM, 10/30/21,3
WALLA WALLA, 10/30/21,34
WHATCOM, 10/30/21,154
WHITMAN, 10/30/21,11
YAKIMA, 10/30/21,392
ADAMS, 11/06/21,37
ASOTIN, 11/06/21,6
BENTON, 11/06/21,200
CHELAN, 11/06/21,90
CLALLAM, 11/06/21,67
CLARK, 11/06/21,228
COLUMBIA, 11/06/21,1
COWLITZ, 11/06/21,89
DOUGLAS, 11/06/21,51
FERRY, 11/06/21,10
FRANKLIN, 11/06/21,118
GARFIELD, 11/06/21,1
GRANT, 11/06/21,159
GRAYS HARBOR, 11/06/21,71
ISLAND, 11/06/21,36
JEFFERSON, 11/06/21,22
KING, 11/06/21,1149
KITSAP, 11/06/21,121
KITTITAS, 11/06/21,33
KLICKITAT, 11/06/21,25
LEWIS, 11/06/21,76
LINCOLN, 11/06/21,5
MASON, 11/06/21,54
OKANOGAN, 11/06/21,54
PACIFIC, 11/06/21,18
PEND OREILLE, 11/06/21,16
PIERCE, 11/06/21,768
SAN JUAN, 11/06/21,15
SKAGIT, 11/06/21,120
SKAMANIA, 11/06/21,9
