year,variable,metric,estimate,share
2019,JAGUAR,Battery Electric Vehicle,64,0.006850781417255406
2019,KIA,Battery Electric Vehicle,225,0.024084778420038536
2019,KIA,Hybrid Electric Vehicle,7,0.0012350035285815103
2019,LAND ROVER,Hybrid Electric Vehicle,71,0.012526464361326747
2019,LEXUS,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,LEXUS,Hybrid Electric Vehicle,413,0.07286520818630911
2019,LINCOLN,Hybrid Electric Vehicle,8,0.0014114326040931546
2019,MAZDA,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,MERCEDES-BENZ,Battery Electric Vehicle,27,0.002890173410404624
2019,MITSUBISHI,Battery Electric Vehicle,74,0.007921216013701562
2019,NISSAN,Battery Electric Vehicle,1020,0.10918432883750803
2019,NISSAN,Hybrid Electric Vehicle,7,0.0012350035285815103
2019,PIAGGIO AND VESPA,Battery Electric Vehicle,3,3.211303789338471e-4
2019,POLARIS,Battery Electric Vehicle,2,2.1408691928923143e-4
2019,PORSCHE,Battery Electric Vehicle,1,1.0704345964461572e-4
2019,RAM,Battery Electric Vehicle,7,7.4930421751231e-4
2019,SMART,Battery Electric Vehicle,30,0.0032113037893384713
2019,TESLA,Battery Electric Vehicle,6165,0.6599229287090559
2019,TOYOTA,Battery Electric Vehicle,10,0.001070434596446157
2019,TOYOTA,Hybrid Electric Vehicle,4658,0.8218066337332393
2019,UBCO,Battery Electric Vehicle,2,2.1408691928923143e-4
2019,VOLKSWAGEN,Battery Electric Vehicle,533,0.05705416399058018
2019,VOLKSWAGEN,Hybrid Electric Vehicle,1,1.7642907551164433e-4
2019,VOLVO,Hybrid Electric Vehicle,128,0.022582921665490474
2019,ZERO MOTORCYCLES,Battery Electric Vehicle,37,0.003960608006850781
2020,ACURA,Hybrid Electric Vehicle,3,4.116920543433512e-4
2020,AMPERE,Battery Electric Vehicle,2,2.109704641350211e-4
2020,ARCIMOTO,Battery Electric Vehicle,8,8.438818565400844e-4
2020,AUDI,Battery Electric Vehicle,179,0.01888185654008439
2020,AUDI,Hybrid Electric Vehicle,1,1.3723068478111705e-4
2020,BAODIAO,Battery Electric Vehicle,2,2.109704641350211e-4
2020,BMW,Battery Electric Vehicle,53,0.005590717299578059
2020,BMW,Hybrid Electric Vehicle,21,0.002881844380403458
2020,BUICK,Hybrid Electric Vehicle,4,5.489227391244682e-4
2020,CADILLAC,Hybrid Electric Vehicle,3,4.116920543433512e-4
2020,CAKE,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,CHANGZHOU YAMASAKI MOTORCYCLE CO.,Battery Electric Vehicle,8,8.438818565400844e-4
2020,CHEVROLET,Battery Electric Vehicle,630,0.06645569620253164
2020,CHEVROLET,Hybrid Electric Vehicle,32,0.004391381912995746
2020,"CHONGQING ZONGSHEN AUTOMOTIVE INDUSTRY CO., LTD.",Battery Electric Vehicle,5,5.274261603375527e-4
2020,FIAT,Battery Electric Vehicle,112,0.01181434599156118
2020,FLUX,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,FORD,Battery Electric Vehicle,12,0.0012658227848101266
2020,FORD,Hybrid Electric Vehicle,48,0.006587072869493619
2020,GMC,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,GMC,Hybrid Electric Vehicle,10,0.0013723068478111707
2020,HARLEY DAVIDSON,Battery Electric Vehicle,11,0.001160337552742616
2020,HONDA,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,HONDA,Hybrid Electric Vehicle,141,0.019349526554137506
2020,HYUNDAI,Battery Electric Vehicle,111,0.01170886075949367
2020,HYUNDAI,Hybrid Electric Vehicle,124,0.017016604912858516
2020,JAGUAR,Battery Electric Vehicle,90,0.00949367088607595
2020,KAWASAKI,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,KIA,Battery Electric Vehicle,277,0.02921940928270042
2020,KIA,Hybrid Electric Vehicle,129,0.0177027583367641
2020,KTM,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,LAND ROVER,Battery Electric Vehicle,1,1.0548523206751055e-4
2020,LAND ROVER,Hybrid Electric Vehicle,285,0.03911074516261836
