geography,variable,concept,date,estimate
King County Metro,Bus,Transit Boardings,2017-08-01,10507430
King County Metro,Bus,Transit Boardings,2017-09-01,9873681
King County Metro,Bus,Transit Boardings,2017-10-01,10744110
King County Metro,Bus,Transit Boardings,2017-11-01,9883082
King County Metro,Bus,Transit Boardings,2017-12-01,9025294
King County Metro,Bus,Transit Boardings,2018-01-01,10394062
King County Metro,Bus,Transit Boardings,2018-02-01,9332487
King County Metro,Bus,Transit Boardings,2018-03-01,10543178
King County Metro,Bus,Transit Boardings,2018-04-01,10256939
King County Metro,Bus,Transit Boardings,2018-05-01,10928127
King County Metro,Bus,Transit Boardings,2018-06-01,10219172
King County Metro,Bus,Transit Boardings,2018-07-01,10248130
King County Metro,Bus,Transit Boardings,2018-08-01,10506506
King County Metro,Bus,Transit Boardings,2018-09-01,9644809
King County Metro,Bus,Transit Boardings,2018-10-01,11192438
King County Metro,Bus,Transit Boardings,2018-11-01,9957854
King County Metro,Bus,Transit Boardings,2018-12-01,8988665
King County Metro,Bus,Transit Boardings,2019-01-01,10376607
King County Metro,Bus,Transit Boardings,2019-02-01,9060147
King County Metro,Bus,Transit Boardings,2019-03-01,10268477
King County Metro,Bus,Transit Boardings,2019-04-01,10426434
King County Metro,Bus,Transit Boardings,2019-05-01,10827035
King County Metro,Bus,Transit Boardings,2019-06-01,10033750
King County Metro,Bus,Transit Boardings,2019-07-01,10366176
King County Metro,Bus,Transit Boardings,2019-08-01,10225956
King County Metro,Bus,Transit Boardings,2019-09-01,9898852
King County Metro,Bus,Transit Boardings,2019-10-01,11328648
King County Metro,Bus,Transit Boardings,2019-11-01,9843211
King County Metro,Bus,Transit Boardings,2019-12-01,9080410
King County Metro,Bus,Transit Boardings,2020-01-01,10265825
King County Metro,Bus,Transit Boardings,2020-02-01,9760049
King County Metro,Bus,Transit Boardings,2020-03-01,5677451
King County Metro,Bus,Transit Boardings,2020-04-01,3101470
King County Metro,Bus,Transit Boardings,2020-05-01,3083710
King County Metro,Bus,Transit Boardings,2020-06-01,3486051
King County Metro,Bus,Transit Boardings,2020-07-01,3908467
King County Metro,Bus,Transit Boardings,2020-08-01,3993935
King County Metro,Bus,Transit Boardings,2020-09-01,3948934
King County Metro,Bus,Transit Boardings,2020-10-01,3779326
King County Metro,Bus,Transit Boardings,2020-11-01,3280777
King County Metro,Bus,Transit Boardings,2020-12-01,3356913
King County Metro,Bus,Transit Boardings,2021-01-01,3274969
King County Metro,Bus,Transit Boardings,2021-02-01,2997624
King County Metro,Bus,Transit Boardings,2021-03-01,3766325
King County Metro,Bus,Transit Boardings,2021-04-01,3841429
King County Metro,Bus,Transit Boardings,2021-05-01,3973898
King County Metro,Bus,Transit Boardings,2021-06-01,4272822
King County Metro,Bus,Transit Boardings,2021-07-01,4642869
King County Metro,Bus,Transit Boardings,2021-08-01,4624732
King County Metro,Bus,Transit Boardings,2021-09-01,4853200
King County Metro,Bus,Transit Boardings,2021-10-01,5305073
King County Metro,Bus,Transit Boardings,2021-11-01,4813848
King County Metro,Bus,Transit Boardings,2021-12-01,4145600
King County Metro,Bus,Transit Boardings,2022-01-01,4306916
King County Metro,Bus,Transit Boardings,2022-02-01,4254075
King County Metro,Bus,Transit Boardings,2022-03-01,5168616
King County Metro,Bus,Transit Boardings,2022-04-01,5228243
King County Metro,Bus,Transit Boardings,2022-05-01,5485502
King County Metro,Bus,Transit Boardings,2022-06-01,5528413
King County Metro,Bus,Transit Boardings,2022-07-01,5481923
King County Metro,Bus,Transit Boardings,2022-08-01,5676285
King County Metro,Bus,Transit Boardings,2022-09-01,5696898
King County Metro,Bus,Transit Boardings,2022-10-01,6157756
King County Metro,Bus,Transit Boardings,2022-11-01,5606152
King County Metro,Bus,Transit Boardings,2022-12-01,4967905
King County Metro,Bus,Transit Boardings,2023-01-01,5829595
King County Metro,Bus,Transit Boardings,2023-02-01,5459215
King County Metro,Bus,Transit Boardings,2023-03-01,6287618
King County Metro,Bus,Transit Boardings,2023-04-01,6064691
King County Metro,Ferry,Transit Boardings,2002-01-01,0
King County Metro,Ferry,Transit Boardings,2002-02-01,0
King County Metro,Ferry,Transit Boardings,2002-03-01,0
King County Metro,Ferry,Transit Boardings,2002-04-01,0
King County Metro,Ferry,Transit Boardings,2002-05-01,0
King County Metro,Ferry,Transit Boardings,2002-06-01,0
King County Metro,Ferry,Transit Boardings,2002-07-01,0
King County Metro,Ferry,Transit Boardings,2002-08-01,0
King County Metro,Ferry,Transit Boardings,2002-09-01,0
King County Metro,Ferry,Transit Boardings,2002-10-01,0
King County Metro,Ferry,Transit Boardings,2002-11-01,0
King County Metro,Ferry,Transit Boardings,2002-12-01,0
King County Metro,Ferry,Transit Boardings,2003-01-01,0
King County Metro,Ferry,Transit Boardings,2003-02-01,0
King County Metro,Ferry,Transit Boardings,2003-03-01,0
King County Metro,Ferry,Transit Boardings,2003-04-01,0
King County Metro,Ferry,Transit Boardings,2003-05-01,0
King County Metro,Ferry,Transit Boardings,2003-06-01,0
King County Metro,Ferry,Transit Boardings,2003-07-01,0
King County Metro,Ferry,Transit Boardings,2003-08-01,0
King County Metro,Ferry,Transit Boardings,2003-09-01,0
King County Metro,Ferry,Transit Boardings,2003-10-01,0
King County Metro,Ferry,Transit Boardings,2003-11-01,0
King County Metro,Ferry,Transit Boardings,2003-12-01,0
King County Metro,Ferry,Transit Boardings,2004-01-01,0
King County Metro,Ferry,Transit Boardings,2004-02-01,0
King County Metro,Ferry,Transit Boardings,2004-03-01,0
King County Metro,Ferry,Transit Boardings,2004-04-01,0
King County Metro,Ferry,Transit Boardings,2004-05-01,0
King County Metro,Ferry,Transit Boardings,2004-06-01,0
King County Metro,Ferry,Transit Boardings,2004-07-01,0
King County Metro,Ferry,Transit Boardings,2004-08-01,0
King County Metro,Ferry,Transit Boardings,2004-09-01,0
King County Metro,Ferry,Transit Boardings,2004-10-01,0
King County Metro,Ferry,Transit Boardings,2004-11-01,0
King County Metro,Ferry,Transit Boardings,2004-12-01,0
King County Metro,Ferry,Transit Boardings,2005-01-01,0
King County Metro,Ferry,Transit Boardings,2005-02-01,0
King County Metro,Ferry,Transit Boardings,2005-03-01,0
King County Metro,Ferry,Transit Boardings,2005-04-01,0
King County Metro,Ferry,Transit Boardings,2005-05-01,0
King County Metro,Ferry,Transit Boardings,2005-06-01,0
King County Metro,Ferry,Transit Boardings,2005-07-01,0
King County Metro,Ferry,Transit Boardings,2005-08-01,0
King County Metro,Ferry,Transit Boardings,2005-09-01,0
King County Metro,Ferry,Transit Boardings,2005-10-01,0
King County Metro,Ferry,Transit Boardings,2005-11-01,0
King County Metro,Ferry,Transit Boardings,2005-12-01,0
King County Metro,Ferry,Transit Boardings,2006-01-01,0
King County Metro,Ferry,Transit Boardings,2006-02-01,0
King County Metro,Ferry,Transit Boardings,2006-03-01,0
King County Metro,Ferry,Transit Boardings,2006-04-01,0
King County Metro,Ferry,Transit Boardings,2006-05-01,0
King County Metro,Ferry,Transit Boardings,2006-06-01,0
King County Metro,Ferry,Transit Boardings,2006-07-01,0
King County Metro,Ferry,Transit Boardings,2006-08-01,0
King County Metro,Ferry,Transit Boardings,2006-09-01,0
King County Metro,Ferry,Transit Boardings,2006-10-01,0
King County Metro,Ferry,Transit Boardings,2006-11-01,0
King County Metro,Ferry,Transit Boardings,2006-12-01,0
King County Metro,Ferry,Transit Boardings,2007-01-01,0
King County Metro,Ferry,Transit Boardings,2007-02-01,0
King County Metro,Ferry,Transit Boardings,2007-03-01,0
King County Metro,Ferry,Transit Boardings,2007-04-01,0
King County Metro,Ferry,Transit Boardings,2007-05-01,0
King County Metro,Ferry,Transit Boardings,2007-06-01,0
King County Metro,Ferry,Transit Boardings,2007-07-01,0
King County Metro,Ferry,Transit Boardings,2007-08-01,0
King County Metro,Ferry,Transit Boardings,2007-09-01,0
King County Metro,Ferry,Transit Boardings,2007-10-01,0
King County Metro,Ferry,Transit Boardings,2007-11-01,0
King County Metro,Ferry,Transit Boardings,2007-12-01,0
King County Metro,Ferry,Transit Boardings,2008-01-01,0
King County Metro,Ferry,Transit Boardings,2008-02-01,0
King County Metro,Ferry,Transit Boardings,2008-03-01,0
King County Metro,Ferry,Transit Boardings,2008-04-01,0
King County Metro,Ferry,Transit Boardings,2008-05-01,0
King County Metro,Ferry,Transit Boardings,2008-06-01,0
King County Metro,Ferry,Transit Boardings,2008-07-01,0
King County Metro,Ferry,Transit Boardings,2008-08-01,0
King County Metro,Ferry,Transit Boardings,2008-09-01,0
King County Metro,Ferry,Transit Boardings,2008-10-01,0
King County Metro,Ferry,Transit Boardings,2008-11-01,0
King County Metro,Ferry,Transit Boardings,2008-12-01,0
King County Metro,Ferry,Transit Boardings,2009-01-01,0
King County Metro,Ferry,Transit Boardings,2009-02-01,0
King County Metro,Ferry,Transit Boardings,2009-03-01,0
King County Metro,Ferry,Transit Boardings,2009-04-01,0
King County Metro,Ferry,Transit Boardings,2009-05-01,0
King County Metro,Ferry,Transit Boardings,2009-06-01,0
King County Metro,Ferry,Transit Boardings,2009-07-01,132
King County Metro,Ferry,Transit Boardings,2009-08-01,126
King County Metro,Ferry,Transit Boardings,2009-09-01,141
King County Metro,Ferry,Transit Boardings,2009-10-01,242
King County Metro,Ferry,Transit Boardings,2009-11-01,198
King County Metro,Ferry,Transit Boardings,2009-12-01,242
King County Metro,Ferry,Transit Boardings,2010-01-01,11081
King County Metro,Ferry,Transit Boardings,2010-02-01,10847
King County Metro,Ferry,Transit Boardings,2010-03-01,13448
King County Metro,Ferry,Transit Boardings,2010-04-01,25671
King County Metro,Ferry,Transit Boardings,2010-05-01,29392
King County Metro,Ferry,Transit Boardings,2010-06-01,36056
King County Metro,Ferry,Transit Boardings,2010-07-01,50317
King County Metro,Ferry,Transit Boardings,2010-08-01,46738
King County Metro,Ferry,Transit Boardings,2010-09-01,30869
King County Metro,Ferry,Transit Boardings,2010-10-01,24733
King County Metro,Ferry,Transit Boardings,2010-11-01,14760
King County Metro,Ferry,Transit Boardings,2010-12-01,13728
King County Metro,Ferry,Transit Boardings,2011-01-01,16543
King County Metro,Ferry,Transit Boardings,2011-02-01,14565
King County Metro,Ferry,Transit Boardings,2011-03-01,17828
King County Metro,Ferry,Transit Boardings,2011-04-01,23749
King County Metro,Ferry,Transit Boardings,2011-05-01,31454
King County Metro,Ferry,Transit Boardings,2011-06-01,42689
King County Metro,Ferry,Transit Boardings,2011-07-01,52304
King County Metro,Ferry,Transit Boardings,2011-08-01,56838
King County Metro,Ferry,Transit Boardings,2011-09-01,42994
King County Metro,Ferry,Transit Boardings,2011-10-01,40440
King County Metro,Ferry,Transit Boardings,2011-11-01,23251
King County Metro,Ferry,Transit Boardings,2011-12-01,21119
King County Metro,Ferry,Transit Boardings,2012-01-01,20857
King County Metro,Ferry,Transit Boardings,2012-02-01,22967
King County Metro,Ferry,Transit Boardings,2012-03-01,24701
King County Metro,Ferry,Transit Boardings,2012-04-01,33303
King County Metro,Ferry,Transit Boardings,2012-05-01,42058
King County Metro,Ferry,Transit Boardings,2012-06-01,41622
King County Metro,Ferry,Transit Boardings,2012-07-01,56866
King County Metro,Ferry,Transit Boardings,2012-08-01,60616
King County Metro,Ferry,Transit Boardings,2012-09-01,45769
King County Metro,Ferry,Transit Boardings,2012-10-01,38172
King County Metro,Ferry,Transit Boardings,2012-11-01,22539
King County Metro,Ferry,Transit Boardings,2012-12-01,18818
King County Metro,Ferry,Transit Boardings,2013-01-01,24464
King County Metro,Ferry,Transit Boardings,2013-02-01,21451
King County Metro,Ferry,Transit Boardings,2013-03-01,24320
King County Metro,Ferry,Transit Boardings,2013-04-01,32420
King County Metro,Ferry,Transit Boardings,2013-05-01,42864
King County Metro,Ferry,Transit Boardings,2013-06-01,51275
King County Metro,Ferry,Transit Boardings,2013-07-01,65135
King County Metro,Ferry,Transit Boardings,2013-08-01,62216
King County Metro,Ferry,Transit Boardings,2013-09-01,42181
King County Metro,Ferry,Transit Boardings,2013-10-01,36857
King County Metro,Ferry,Transit Boardings,2013-11-01,21500
King County Metro,Ferry,Transit Boardings,2013-12-01,20427
King County Metro,Ferry,Transit Boardings,2014-01-01,25083
King County Metro,Ferry,Transit Boardings,2014-02-01,24582
King County Metro,Ferry,Transit Boardings,2014-03-01,24141
King County Metro,Ferry,Transit Boardings,2014-04-01,35025
King County Metro,Ferry,Transit Boardings,2014-05-01,42978
King County Metro,Ferry,Transit Boardings,2014-06-01,48176
King County Metro,Ferry,Transit Boardings,2014-07-01,66394
King County Metro,Ferry,Transit Boardings,2014-08-01,69659
King County Metro,Ferry,Transit Boardings,2014-09-01,50114
King County Metro,Ferry,Transit Boardings,2014-10-01,38031
King County Metro,Ferry,Transit Boardings,2014-11-01,20885
King County Metro,Ferry,Transit Boardings,2014-12-01,22051
King County Metro,Ferry,Transit Boardings,2015-01-01,23987
King County Metro,Ferry,Transit Boardings,2015-02-01,23043
King County Metro,Ferry,Transit Boardings,2015-03-01,28782
King County Metro,Ferry,Transit Boardings,2015-04-01,40674
King County Metro,Ferry,Transit Boardings,2015-05-01,48993
King County Metro,Ferry,Transit Boardings,2015-06-01,61755
King County Metro,Ferry,Transit Boardings,2015-07-01,70374
King County Metro,Ferry,Transit Boardings,2015-08-01,69289
King County Metro,Ferry,Transit Boardings,2015-09-01,52920
King County Metro,Ferry,Transit Boardings,2015-10-01,44342
King County Metro,Ferry,Transit Boardings,2015-11-01,25158
King County Metro,Ferry,Transit Boardings,2015-12-01,25890
King County Metro,Ferry,Transit Boardings,2016-01-01,27674
King County Metro,Ferry,Transit Boardings,2016-02-01,29363
King County Metro,Ferry,Transit Boardings,2016-03-01,35062
King County Metro,Ferry,Transit Boardings,2016-04-01,53504
King County Metro,Ferry,Transit Boardings,2016-05-01,68182
King County Metro,Ferry,Transit Boardings,2016-06-01,65890
King County Metro,Ferry,Transit Boardings,2016-07-01,76560
King County Metro,Ferry,Transit Boardings,2016-08-01,83035
King County Metro,Ferry,Transit Boardings,2016-09-01,59502
King County Metro,Ferry,Transit Boardings,2016-10-01,44126
King County Metro,Ferry,Transit Boardings,2016-11-01,31648
King County Metro,Ferry,Transit Boardings,2016-12-01,27396
King County Metro,Ferry,Transit Boardings,2017-01-01,29690
King County Metro,Ferry,Transit Boardings,2017-02-01,29192
King County Metro,Ferry,Transit Boardings,2017-03-01,36883
King County Metro,Ferry,Transit Boardings,2017-04-01,42832
King County Metro,Ferry,Transit Boardings,2017-05-01,63252
King County Metro,Ferry,Transit Boardings,2017-06-01,69767
King County Metro,Ferry,Transit Boardings,2017-07-01,89020
King County Metro,Ferry,Transit Boardings,2017-08-01,65502
King County Metro,Ferry,Transit Boardings,2017-09-01,62049
King County Metro,Ferry,Transit Boardings,2017-10-01,52902
King County Metro,Ferry,Transit Boardings,2017-11-01,30879
King County Metro,Ferry,Transit Boardings,2017-12-01,27986
King County Metro,Ferry,Transit Boardings,2018-01-01,36150
King County Metro,Ferry,Transit Boardings,2018-02-01,31605
King County Metro,Ferry,Transit Boardings,2018-03-01,40987
King County Metro,Ferry,Transit Boardings,2018-04-01,48296
King County Metro,Ferry,Transit Boardings,2018-05-01,67867
King County Metro,Ferry,Transit Boardings,2018-06-01,73141
King County Metro,Ferry,Transit Boardings,2018-07-01,92078
King County Metro,Ferry,Transit Boardings,2018-08-01,92929
King County Metro,Ferry,Transit Boardings,2018-09-01,62839
King County Metro,Ferry,Transit Boardings,2018-10-01,55472
King County Metro,Ferry,Transit Boardings,2018-11-01,34159
King County Metro,Ferry,Transit Boardings,2018-12-01,28842
King County Metro,Ferry,Transit Boardings,2019-01-01,59293
King County Metro,Ferry,Transit Boardings,2019-02-01,41375
King County Metro,Ferry,Transit Boardings,2019-03-01,56148
King County Metro,Ferry,Transit Boardings,2019-04-01,58572
King County Metro,Ferry,Transit Boardings,2019-05-01,69194
King County Metro,Ferry,Transit Boardings,2019-06-01,74257
King County Metro,Ferry,Transit Boardings,2019-07-01,90079
King County Metro,Ferry,Transit Boardings,2019-08-01,67308
King County Metro,Ferry,Transit Boardings,2019-09-01,62058
King County Metro,Ferry,Transit Boardings,2019-10-01,56795
King County Metro,Ferry,Transit Boardings,2019-11-01,34259
King County Metro,Ferry,Transit Boardings,2019-12-01,32270
King County Metro,Ferry,Transit Boardings,2020-01-01,37519
King County Metro,Ferry,Transit Boardings,2020-02-01,35751
King County Metro,Ferry,Transit Boardings,2020-03-01,14068
King County Metro,Ferry,Transit Boardings,2020-04-01,2039
King County Metro,Ferry,Transit Boardings,2020-05-01,2221
King County Metro,Ferry,Transit Boardings,2020-06-01,4797
King County Metro,Ferry,Transit Boardings,2020-07-01,9643
King County Metro,Ferry,Transit Boardings,2020-08-01,10630
King County Metro,Ferry,Transit Boardings,2020-09-01,9801
King County Metro,Ferry,Transit Boardings,2020-10-01,8788
King County Metro,Ferry,Transit Boardings,2020-11-01,5586
King County Metro,Ferry,Transit Boardings,2020-12-01,6087
King County Metro,Ferry,Transit Boardings,2021-01-01,5355
King County Metro,Ferry,Transit Boardings,2021-02-01,5253
King County Metro,Ferry,Transit Boardings,2021-03-01,8573
King County Metro,Ferry,Transit Boardings,2021-04-01,12037
King County Metro,Ferry,Transit Boardings,2021-05-01,26121
King County Metro,Ferry,Transit Boardings,2021-06-01,34292
King County Metro,Ferry,Transit Boardings,2021-07-01,52129
King County Metro,Ferry,Transit Boardings,2021-08-01,44759
King County Metro,Ferry,Transit Boardings,2021-09-01,33479
King County Metro,Ferry,Transit Boardings,2021-10-01,27505
King County Metro,Ferry,Transit Boardings,2021-11-01,20047
King County Metro,Ferry,Transit Boardings,2021-12-01,17293
King County Metro,Ferry,Transit Boardings,2022-01-01,15050
King County Metro,Ferry,Transit Boardings,2022-02-01,18317
King County Metro,Ferry,Transit Boardings,2022-03-01,26609
King County Metro,Ferry,Transit Boardings,2022-04-01,29292
King County Metro,Ferry,Transit Boardings,2022-05-01,33559
King County Metro,Ferry,Transit Boardings,2022-06-01,45085
King County Metro,Ferry,Transit Boardings,2022-07-01,61251
King County Metro,Ferry,Transit Boardings,2022-08-01,60786
King County Metro,Ferry,Transit Boardings,2022-09-01,46970
King County Metro,Ferry,Transit Boardings,2022-10-01,30880
King County Metro,Ferry,Transit Boardings,2022-11-01,18357
King County Metro,Ferry,Transit Boardings,2022-12-01,14251
King County Metro,Ferry,Transit Boardings,2023-01-01,19288
King County Metro,Ferry,Transit Boardings,2023-02-01,17590
King County Metro,Ferry,Transit Boardings,2023-03-01,26039
King County Metro,Ferry,Transit Boardings,2023-04-01,25581
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-01-01,12990
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-02-01,17240
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-03-01,21498
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-04-01,22687
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-05-01,31981
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-06-01,44346
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-07-01,64552
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-08-01,61922
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-09-01,32321
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-10-01,20384
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-11-01,13964
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2002-12-01,14050
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-01-01,16350
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-02-01,17793
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-03-01,21133
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-04-01,24064
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-05-01,32910
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-06-01,47554
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-07-01,70188
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-08-01,73932
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-09-01,40997
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-10-01,23825
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-11-01,18405
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2003-12-01,16439
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-01-01,16333
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-02-01,20096
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-03-01,23230
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-04-01,27988
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-05-01,33379
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-06-01,44854
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-07-01,62999
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-08-01,66065
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-09-01,41974
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-10-01,24849
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-11-01,19196
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2004-12-01,17146
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-01-01,16304
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-02-01,19660
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-03-01,23613
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-04-01,26523
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-05-01,33507
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-06-01,45838
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-07-01,64571
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-08-01,65722
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-09-01,40915
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-10-01,23291
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-11-01,14383
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2005-12-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-01-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-02-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-03-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-04-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-05-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-06-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-07-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-08-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-09-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-10-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-11-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2006-12-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-01-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-02-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-03-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-04-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-05-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-06-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-07-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-08-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-09-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-10-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-11-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2007-12-01,0
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-01-01,26877
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-02-01,26471
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-03-01,28368
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-04-01,28666
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-05-01,34360
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-06-01,39496
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-07-01,50467
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-08-01,44448
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-09-01,39113
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-10-01,35061
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-11-01,29354
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2008-12-01,31256
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-01-01,31286
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-02-01,30126
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-03-01,32198
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-04-01,34589
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-05-01,37271
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-06-01,42174
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-07-01,50954
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-08-01,45329
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-09-01,39679
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-10-01,36582
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-11-01,32736
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2009-12-01,38280
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-01-01,32333
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-02-01,32068
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-03-01,37579
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-04-01,37945
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-05-01,40646
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-06-01,45814
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-07-01,56703
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-08-01,53783
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-09-01,49409
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-10-01,45931
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-11-01,41713
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2010-12-01,47008
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-01-01,43829
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-02-01,41557
King County Metro,"Light Rail, Streetcar & Monorail",Transit Boardings,2011-03-01,52376
