date,variable,geography,estimate,share
2017-02-01,Battery Electric Vehicle,King,331,0.02499056247640619
2017-02-01,Battery Electric Vehicle,Kitsap,6,0.0054249547920434
2017-02-01,Battery Electric Vehicle,Pierce,45,0.011169024571854059
2017-02-01,Battery Electric Vehicle,Snohomish,54,0.015428571428571429
2017-02-01,Hybrid Electric Vehicle,King,107,0.00807852019630049
2017-02-01,Hybrid Electric Vehicle,Kitsap,9,0.0081374321880651
2017-02-01,Hybrid Electric Vehicle,Pierce,12,0.0029784065524944155
2017-02-01,Hybrid Electric Vehicle,Snohomish,26,0.0074285714285714285
2017-02-01,Internal Combustion Engine,King,12807,0.9669309173272933
2017-02-01,Internal Combustion Engine,Kitsap,1091,0.9864376130198915
2017-02-01,Internal Combustion Engine,Pierce,3972,0.9858525688756515
2017-02-01,Internal Combustion Engine,Snohomish,3420,0.9771428571428571
2018-02-01,Battery Electric Vehicle,King,214,0.01865086282028935
2018-02-01,Battery Electric Vehicle,Kitsap,10,0.008298755186721992
2018-02-01,Battery Electric Vehicle,Pierce,22,0.005498625343664084
2018-02-01,Battery Electric Vehicle,Snohomish,32,0.009526644834772254
2018-02-01,Hybrid Electric Vehicle,King,102,0.008889663587240719
2018-02-01,Hybrid Electric Vehicle,Kitsap,9,0.007468879668049793
2018-02-01,Hybrid Electric Vehicle,Pierce,28,0.0069982504373906525
2018-02-01,Hybrid Electric Vehicle,Snohomish,19,0.0056564453706460256
2018-02-01,Internal Combustion Engine,King,11158,0.97245947359247
2018-02-01,Internal Combustion Engine,Kitsap,1186,0.9842323651452282
2018-02-01,Internal Combustion Engine,Pierce,3951,0.9875031242189453
2018-02-01,Internal Combustion Engine,Snohomish,3308,0.9848169097945817
2019-02-01,Battery Electric Vehicle,King,400,0.036337209302325583
2019-02-01,Battery Electric Vehicle,Kitsap,7,0.006375227686703097
2019-02-01,Battery Electric Vehicle,Pierce,34,0.009547879809042405
2019-02-01,Battery Electric Vehicle,Snohomish,87,0.028590207032533684
