variable,estimate,year,month,data_day,equiv_day,geography,concept
Subtotal - International Air Mail,0,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,22096,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,18967,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,41063,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,37187,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,329,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,54,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Military,3,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,37573,2019,12,2019-12-01,2023-12-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1661782,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1649131,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3310913,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,239444,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,213835,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,453279,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1901226,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1862966,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3764192,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13253,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,11467,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,24720,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,5022,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4518,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,9540,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,18275,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,15985,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,34260,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,18275,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,15985,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,34260,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,35179,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,309,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,107,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Military,1,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,35596,2020,01,2020-01-01,2023-01-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,1590553,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,1662677,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,3253230,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,190071,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,176782,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,366853,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,1780624,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,1839459,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,3620083,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,12311,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,11439,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,23750,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,3832,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4119,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,7951,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,16143,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,15559,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,31702,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,16143,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,15559,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,31702,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,33013,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,305,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,88,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Military,6,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,33412,2020,02,2020-02-01,2023-02-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,824353,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,816795,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,1641148,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,97291,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,86237,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,183528,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,921644,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,903032,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,1824676,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,14470,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,12926,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,27396,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,4217,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,4086,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,8303,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,18687,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,17012,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,35699,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,18687,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,17012,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,35699,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,30595,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,291,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,77,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Military,12,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,30975,2020,03,2020-03-01,2023-03-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,126987,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,118811,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,245798,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,5493,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,7862,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,13355,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,132480,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,126673,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,259153,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,13237,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,12583,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,25820,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,2245,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,3204,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,5449,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,15482,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,15787,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,31269,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,15482,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,15787,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,31269,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,11544,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,270,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,251,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Military,22,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,12087,2020,04,2020-04-01,2023-04-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,282358,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,276469,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,558827,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,5455,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,5491,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,10946,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,287813,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,281960,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,569773,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,15824,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14291,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,30115,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,1729,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,3222,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,4951,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,17553,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,17513,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,35066,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,17553,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,17513,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,35066,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,11947,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,251,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,308,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Military,35,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,12541,2020,05,2020-05-01,2023-05-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,533074,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,530762,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,1063836,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,13782,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,12430,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,26212,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,546856,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,543192,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,1090048,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,16067,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14090,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,30157,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,2800,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,8469,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,11269,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,18867,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,22559,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,41426,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,18867,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,22559,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,41426,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Carrier,17461,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Air Taxi,359,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
General Aviation,188,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Military,38,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
OPERATIONS GRAND TOTAL,18046,2020,06,2020-06-01,2023-06-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - IN,712048,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Passengers - OUT,704127,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Passengers,1416175,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - IN,19172,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Passengers - OUT,19597,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Passengers,38769,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - IN,731220,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Passengers - OUT,723724,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
PASSENGER GRAND TOTAL,1454944,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - IN,15181,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Freight - OUT,14430,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Freight,29611,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - IN,2661,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Freight - OUT,11869,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Freight,14530,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - IN,17842,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Freight - OUT,26299,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Freight Grand Total,44141,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - IN,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Domestic Air Mail - OUT,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - Domestic Air Mail,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - IN,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
International Air Mail - OUT,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Subtotal - International Air Mail,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - IN,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Air Mail - OUT,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Air Mail Grand Total,0,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - IN,17842,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
Total Cargo - OUT,26299,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
CARGO GRAND TOTAL,44141,2020,07,2020-07-01,2023-07-01,Seattle-Tacoma International Airport,Airport Operations
